Key: Exif.Image.NewSubfileType, Value: 0
Key: Exif.Image.ImageWidth, Value: 2592
Key: Exif.Image.ImageLength, Value: 1944
Key: Exif.Image.BitsPerSample, Value: 16
Key: Exif.Image.Compression, Value: 1
Key: Exif.Image.PhotometricInterpretation, Value: 1
Key: Exif.Image.ImageDescription, Value: default
Key: Exif.Image.Make, Value: DJI
Key: Exif.Image.Model, Value: M3M
Key: Exif.Image.StripOffsets, Value: 9728
Key: Exif.Image.Orientation, Value: 1
Key: Exif.Image.SamplesPerPixel, Value: 1
Key: Exif.Image.StripByteCounts, Value: 10077696
Key: Exif.Image.Software, Value: 10.11.08.03
Key: Exif.Image.DateTime, Value: 2023:03:08 10:02:35
