Key: Xmp.xmp.ModifyDate, Value: 2023-03-08T10:02:35+08:00
Key: Xmp.xmp.CreateDate, Value: 2023-03-08T10:02:35+08:00
Key: Xmp.tiff.Make, Value: DJI
Key: Xmp.tiff.Model, Value: M3M
Key: Xmp.dc.format, Value: image/TIF
Key: Xmp.drone-dji.Version, Value: 1.6
Key: Xmp.drone-dji.ImageSource, Value: MS_R_CAMERA
Key: Xmp.drone-dji.GpsStatus, Value: RTK
Key: Xmp.drone-dji.AltitudeType, Value: RtkAlt
Key: Xmp.drone-dji.GpsLatitude, Value: +32.054392738
Key: Xmp.drone-dji.GpsLongitude, Value: +118.794152119
Key: Xmp.drone-dji.AbsoluteAltitude, Value: +108.945
Key: Xmp.drone-dji.RelativeAltitude, Value: +99.988
Key: Xmp.drone-dji.GimbalRollDegree, Value: +0.00
Key: Xmp.drone-dji.GimbalYawDegree, Value: -167.60
Key: Xmp.drone-dji.GimbalPitchDegree, Value: -89.90
Key: Xmp.drone-dji.FlightRollDegree, Value: +0.70
Key: Xmp.drone-dji.FlightYawDegree, Value: -168.00
Key: Xmp.drone-dji.FlightPitchDegree, Value: -18.80
Key: Xmp.drone-dji.FlightXSpeed, Value: -4.7
Key: Xmp.drone-dji.FlightYSpeed, Value: -1.0
Key: Xmp.drone-dji.FlightZSpeed, Value: 0.0
Key: Xmp.drone-dji.CamReverse, Value: 0
Key: Xmp.drone-dji.GimbalReverse, Value: 0
Key: Xmp.drone-dji.SelfData, Value: 
Key: Xmp.drone-dji.RtkFlag, Value: 50
Key: Xmp.drone-dji.RtkStdLon, Value: 0.00851
Key: Xmp.drone-dji.RtkStdLat, Value: 0.00959
Key: Xmp.drone-dji.RtkStdHgt, Value: 0.02132
Key: Xmp.drone-dji.RtkDiffAge, Value: 2.00000
Key: Xmp.drone-dji.NTRIPMountPoint, Value: RTCM33_GRCE_A
Key: Xmp.drone-dji.NTRIPPort, Value: 8001
Key: Xmp.drone-dji.NTRIPHost, Value: cmcc
Key: Xmp.drone-dji.SurveyingMode, Value: 1
Key: Xmp.drone-dji.DewarpFlag, Value: 0
Key: Xmp.drone-dji.DewarpData, Value: 2022-11-17;2190.610000000000,2188.860000000000,12.630000000000,3.660000000000,0.009822190000,-0.047163200000,-0.000170100000,-0.000372290000,0.000000000000
Key: Xmp.drone-dji.CalibratedFocalLength, Value: 4340.000000
Key: Xmp.drone-dji.CalibratedOpticalCenterX, Value: 1296.000000
Key: Xmp.drone-dji.CalibratedOpticalCenterY, Value: 972.000000
Key: Xmp.drone-dji.UTCAtExposure, Value: 2023-03-08T02:02:54.931845
Key: Xmp.drone-dji.ShutterType, Value: Electronic
Key: Xmp.drone-dji.CameraSerialNumber, Value: 5J2O3ARRBBM1JW
Key: Xmp.drone-dji.DroneModel, Value: M3M
Key: Xmp.drone-dji.DroneSerialNumber, Value: 1581F5FKD22BE00A67ZB
Key: Xmp.drone-dji.CaptureUUID, Value: cdc7737a1126490ba3239840996f9aa2
Key: Xmp.drone-dji.RelativeOpticalCenterX, Value: -13.969971
Key: Xmp.drone-dji.RelativeOpticalCenterY, Value: 3.163025
